Book,Date,Weeks,Rank
Greenlights,5/16/2021,28,10
Crying in H Mart,5/16/2021,2,11
The Code Breaker,5/16/2021,8,12
Antitrust,5/16/2021,1,13
Think Again,5/16/2021,12,14
Empire of Pain,5/16/2021,3,15
Killing the Mob,5/23/2021,1,1
The Premonition,5/23/2021,1,2
What Happened to You?,5/23/2021,2,3
The Bomber Mafia,5/23/2021,2,4
Finding the Mother Tree,5/23/2021,1,5
The Body Keeps The Score,5/23/2021,37,6
Persist,5/23/2021,1,7
Greenlights,5/23/2021,29,8
Untamed,5/23/2021,61,9
Becoming,5/23/2021,105,10
The Tyranny of Big Tech,5/23/2021,1,11
Crying in H Mart,5/23/2021,3,12
Caste,5/23/2021,40,13
On Juneteenth,5/23/2021,1,14
The Wreckage of My Presence,5/23/2021,1,15
Killing the Mob,5/30/2021,2,1
Yearbook,5/30/2021,1,2
Billie Eilish,5/30/2021,1,3
The Premonition,5/30/2021,2,4
What Happened to You?,5/30/2021,3,5
Brat,5/30/2021,1,6
The Bomber Mafia,5/30/2021,3,7
The Body Keeps The Score,5/30/2021,38,8
Greenlights,5/30/2021,30,9
Untamed,5/30/2021,62,10
Caste,5/30/2021,41,11
The Happiest Man on Earth,5/30/2021,1,12
Facing the Mountain,5/30/2021,1,13
Nine Nasty Words,5/30/2021,1,14
Crying in H Mart,5/30/2021,4,15
The Anthropocene Reviewed,6/6/2021,1,1
Zero Fail,6/6/2021,1,2
Killing the Mob,6/6/2021,3,3
Noise,6/6/2021,1,4
What Happened to You?,6/6/2021,4,5
The Premonition,6/6/2021,3,6
Yearbook,6/6/2021,2,7
The Body Keeps The Score,6/6/2021,39,8
Greenlights,6/6/2021,31,9
The Bomber Mafia,6/6/2021,4,10
Facing the Mountain,6/6/2021,2,11
Untamed,6/6/2021,63,12
Caste,6/6/2021,42,13
Killers of the Flower Moon,6/6/2021,70,14
Think Again,6/6/2021,13,15
Killing the Mob,6/13/2021,4,1
What Happened to You?,6/13/2021,5,2
The Anthropocene Reviewed,6/13/2021,2,3
Zero Fail,6/13/2021,2,4
The Premonition,6/13/2021,4,5
The Body Keeps The Score,6/13/2021,40,6
Greenlights,6/13/2021,32,7
The Bomber Mafia,6/13/2021,5,8
Yearbook,6/13/2021,3,9
Noise,6/13/2021,2,10
Caste,6/13/2021,43,11
Shape,6/13/2021,1,12
The Housewives,6/13/2021,1,13
A Course Called America,6/13/2021,1,14
Untamed,6/13/2021,64,15
